scene_tag,scene_path,md_exists,lgp_exists,issue_count
4objs/s005/trial_06_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/4objs/s005/random_trials/trial_06_nr.g,True,False,1
4objs/s005/trial_06_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/4objs/s005/random_trials/trial_06_r.g,True,False,1
4objs/s005/trial_07_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/4objs/s005/random_trials/trial_07_nr.g,True,False,1
4objs/s005/trial_07_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/4objs/s005/random_trials/trial_07_r.g,True,False,1
4objs/s005/trial_08_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/4objs/s005/random_trials/trial_08_nr.g,True,False,1
4objs/s005/trial_08_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/4objs/s005/random_trials/trial_08_r.g,True,False,1
4objs/s005/trial_09_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/4objs/s005/random_trials/trial_09_nr.g,True,False,1
4objs/s005/trial_09_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/4objs/s005/random_trials/trial_09_r.g,True,False,1
4objs/s005/trial_10_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/4objs/s005/random_trials/trial_10_nr.g,True,False,1
4objs/s005/trial_10_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/4objs/s005/random_trials/trial_10_r.g,True,False,1
5objs/s001/trial_01_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s001/random_trials/trial_01_nr.g,True,False,1
5objs/s001/trial_01_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s001/random_trials/trial_01_r.g,True,False,1
5objs/s001/trial_02_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s001/random_trials/trial_02_nr.g,True,False,1
5objs/s001/trial_02_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s001/random_trials/trial_02_r.g,True,False,1
5objs/s001/trial_03_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s001/random_trials/trial_03_nr.g,True,False,1
5objs/s001/trial_03_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s001/random_trials/trial_03_r.g,True,False,1
5objs/s001/trial_04_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s001/random_trials/trial_04_nr.g,True,False,1
5objs/s001/trial_04_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s001/random_trials/trial_04_r.g,True,False,1
5objs/s001/trial_05_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s001/random_trials/trial_05_nr.g,True,False,1
5objs/s001/trial_05_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s001/random_trials/trial_05_r.g,True,False,1
5objs/s001/trial_06_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s001/random_trials/trial_06_nr.g,True,False,1
5objs/s001/trial_06_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s001/random_trials/trial_06_r.g,True,False,1
5objs/s001/trial_07_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s001/random_trials/trial_07_nr.g,True,False,1
5objs/s001/trial_07_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s001/random_trials/trial_07_r.g,True,False,1
5objs/s001/trial_08_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s001/random_trials/trial_08_nr.g,True,False,1
5objs/s001/trial_08_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s001/random_trials/trial_08_r.g,True,False,1
5objs/s001/trial_09_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s001/random_trials/trial_09_nr.g,True,False,1
5objs/s001/trial_09_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s001/random_trials/trial_09_r.g,True,False,1
5objs/s001/trial_10_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s001/random_trials/trial_10_nr.g,True,False,1
5objs/s001/trial_10_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s001/random_trials/trial_10_r.g,True,False,1
5objs/s002/trial_01_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s002/random_trials/trial_01_nr.g,True,False,1
5objs/s002/trial_01_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s002/random_trials/trial_01_r.g,True,False,1
5objs/s002/trial_02_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s002/random_trials/trial_02_nr.g,True,False,1
5objs/s002/trial_02_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s002/random_trials/trial_02_r.g,True,False,1
5objs/s002/trial_03_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s002/random_trials/trial_03_nr.g,True,False,1
5objs/s002/trial_03_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s002/random_trials/trial_03_r.g,True,False,1
5objs/s002/trial_04_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s002/random_trials/trial_04_nr.g,True,False,1
5objs/s002/trial_04_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s002/random_trials/trial_04_r.g,True,False,1
5objs/s002/trial_05_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s002/random_trials/trial_05_nr.g,True,False,1
5objs/s002/trial_05_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s002/random_trials/trial_05_r.g,True,False,1
5objs/s002/trial_06_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s002/random_trials/trial_06_nr.g,True,False,1
5objs/s002/trial_06_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s002/random_trials/trial_06_r.g,True,False,1
5objs/s002/trial_07_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s002/random_trials/trial_07_nr.g,True,False,1
5objs/s002/trial_07_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s002/random_trials/trial_07_r.g,True,False,1
5objs/s002/trial_08_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s002/random_trials/trial_08_nr.g,True,False,1
5objs/s002/trial_08_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s002/random_trials/trial_08_r.g,True,False,1
5objs/s002/trial_09_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s002/random_trials/trial_09_nr.g,True,False,1
5objs/s002/trial_09_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s002/random_trials/trial_09_r.g,True,False,1
5objs/s002/trial_10_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s002/random_trials/trial_10_nr.g,True,False,1
5objs/s002/trial_10_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s002/random_trials/trial_10_r.g,True,False,1
5objs/s003/trial_01_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s003/random_trials/trial_01_nr.g,True,False,1
5objs/s003/trial_01_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s003/random_trials/trial_01_r.g,True,False,1
5objs/s003/trial_02_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s003/random_trials/trial_02_nr.g,True,False,1
5objs/s003/trial_02_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s003/random_trials/trial_02_r.g,True,False,1
5objs/s003/trial_03_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s003/random_trials/trial_03_nr.g,True,False,1
5objs/s003/trial_03_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s003/random_trials/trial_03_r.g,True,False,1
5objs/s003/trial_04_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s003/random_trials/trial_04_nr.g,True,False,1
5objs/s003/trial_04_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s003/random_trials/trial_04_r.g,True,False,1
5objs/s003/trial_05_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s003/random_trials/trial_05_nr.g,True,False,1
5objs/s003/trial_05_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s003/random_trials/trial_05_r.g,True,False,1
5objs/s003/trial_06_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s003/random_trials/trial_06_nr.g,True,False,1
5objs/s003/trial_06_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s003/random_trials/trial_06_r.g,True,False,1
5objs/s003/trial_07_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s003/random_trials/trial_07_nr.g,True,False,1
5objs/s003/trial_07_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s003/random_trials/trial_07_r.g,True,False,1
5objs/s003/trial_08_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s003/random_trials/trial_08_nr.g,True,False,1
5objs/s003/trial_08_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s003/random_trials/trial_08_r.g,True,False,1
5objs/s003/trial_09_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s003/random_trials/trial_09_nr.g,True,False,1
5objs/s003/trial_09_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s003/random_trials/trial_09_r.g,True,False,1
5objs/s003/trial_10_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s003/random_trials/trial_10_nr.g,True,False,1
5objs/s003/trial_10_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s003/random_trials/trial_10_r.g,True,False,1
5objs/s004/trial_01_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s004/random_trials/trial_01_nr.g,True,False,1
5objs/s004/trial_01_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s004/random_trials/trial_01_r.g,True,False,1
5objs/s004/trial_02_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s004/random_trials/trial_02_nr.g,True,False,1
5objs/s004/trial_02_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s004/random_trials/trial_02_r.g,True,False,1
5objs/s004/trial_03_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s004/random_trials/trial_03_nr.g,True,False,1
5objs/s004/trial_03_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s004/random_trials/trial_03_r.g,True,False,1
5objs/s004/trial_04_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s004/random_trials/trial_04_nr.g,True,False,1
5objs/s004/trial_04_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s004/random_trials/trial_04_r.g,True,False,1
5objs/s004/trial_05_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s004/random_trials/trial_05_nr.g,True,False,1
5objs/s004/trial_05_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s004/random_trials/trial_05_r.g,True,False,1
5objs/s004/trial_06_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s004/random_trials/trial_06_nr.g,True,False,1
5objs/s004/trial_06_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s004/random_trials/trial_06_r.g,True,False,1
5objs/s004/trial_07_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s004/random_trials/trial_07_nr.g,True,False,1
5objs/s004/trial_07_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s004/random_trials/trial_07_r.g,True,False,1
5objs/s004/trial_08_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s004/random_trials/trial_08_nr.g,True,False,1
5objs/s004/trial_08_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s004/random_trials/trial_08_r.g,True,False,1
5objs/s004/trial_09_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s004/random_trials/trial_09_nr.g,True,False,1
5objs/s004/trial_09_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s004/random_trials/trial_09_r.g,True,False,1
5objs/s004/trial_10_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s004/random_trials/trial_10_nr.g,True,False,1
5objs/s004/trial_10_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s004/random_trials/trial_10_r.g,True,False,1
5objs/s005/trial_01_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s005/random_trials/trial_01_nr.g,True,False,1
5objs/s005/trial_01_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s005/random_trials/trial_01_r.g,True,False,1
5objs/s005/trial_02_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s005/random_trials/trial_02_nr.g,True,False,1
5objs/s005/trial_02_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s005/random_trials/trial_02_r.g,True,False,1
5objs/s005/trial_03_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s005/random_trials/trial_03_nr.g,True,False,1
5objs/s005/trial_03_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s005/random_trials/trial_03_r.g,True,False,1
5objs/s005/trial_04_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s005/random_trials/trial_04_nr.g,True,False,1
5objs/s005/trial_04_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s005/random_trials/trial_04_r.g,True,False,1
5objs/s005/trial_05_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s005/random_trials/trial_05_nr.g,True,False,1
5objs/s005/trial_05_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s005/random_trials/trial_05_r.g,True,False,1
5objs/s005/trial_06_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s005/random_trials/trial_06_nr.g,True,False,1
5objs/s005/trial_06_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s005/random_trials/trial_06_r.g,True,False,1
5objs/s005/trial_07_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s005/random_trials/trial_07_nr.g,True,False,1
5objs/s005/trial_07_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s005/random_trials/trial_07_r.g,True,False,1
5objs/s005/trial_08_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s005/random_trials/trial_08_nr.g,True,False,1
5objs/s005/trial_08_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s005/random_trials/trial_08_r.g,True,False,1
5objs/s005/trial_09_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s005/random_trials/trial_09_nr.g,True,False,1
5objs/s005/trial_09_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s005/random_trials/trial_09_r.g,True,False,1
5objs/s005/trial_10_nr,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s005/random_trials/trial_10_nr.g,True,False,1
5objs/s005/trial_10_r,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/5objs/s005/random_trials/trial_10_r.g,True,False,1
